cluster_0	7omm_D_NA_A
cluster_849	2vc2_H_L_A 2vdk_H_L_A 2vdl_H_L_A 2vdm_H_L_A 2vdn_H_L_A 2vdo_H_L_A 2vdp_H_L_A 2vdq_H_L_A 2vdr_H_L_A 3nid_E_F_C 3nif_E_F_C 3nig_E_F_C 3t3m_E_F_C 3t3p_E_F_C 3zdx_E_F_C 3zdy_E_F_C 3zdz_E_F_C 3ze0_E_F_C 3ze1_E_F_C 3ze2_E_F_A 3ze2_H_L_C 4z7n_E_F_C 4z7o_E_F_C 4z7q_E_F_C 5hdb_E_F_C 5hdb_H_L_A 7l8p_E_F_C 7l8p_H_L_A 7tct_E_F_C 7tct_H_L_A 7td8_E_F_C 7td8_H_L_A 7tho_E_F_C 7tho_H_L_A 7tmz_E_F_C 7tmz_H_L_A 7tpd_E_F_C 7tpd_H_L_A 7u60_E_F_C 7u60_H_L_A 7u9f_E_F_C 7u9f_H_L_A 7u9v_E_F_C 7u9v_H_L_A 7ubr_E_F_C 7ubr_H_L_A 7ucy_E_F_C 7ucy_H_L_A 7udg_E_F_C 7udg_H_L_A 7udh_E_F_C 7udh_H_L_A 7ue0_E_F_C 7ue0_H_L_A 7ufh_E_F_C 7ufh_H_L_A 7uh8_E_F_C 7uh8_H_L_A 7uje_E_F_C 7uje_H_L_A 7ujk_E_F_C 7ujk_H_L_A 7uk9_E_F_C 7uk9_H_L_A 7uko_E_F_C 7uko_H_L_A 7ukp_E_F_C 7ukp_H_L_A 7ukt_E_F_C 7ukt_H_L_A
cluster_850	2vwe_E_C_A 2vwe_L_J_B
cluster_851	2wub_H_L_A 2wub_R_Q_C 2wuc_H_L_A 3k2u_H_L_A
cluster_852	3kj4_C_B_D 3kj4_H_L_A
cluster_853	3qum_B_A_P 3qum_D_C_Q
cluster_854	3qum_H_L_P 3qum_K_M_Q
cluster_855	3u9u_A_B_F
cluster_856	3wih_H_L_A 3wih_I_M_B
cluster_857	4f3f_B_A_C
cluster_858	4hix_H_L_A 4ojf_H_L_A
cluster_859	4hpy_H_L_P
cluster_860	4i77_H_L_Z
cluster_861	4ogx_H_L_A 4ogy_H_L_A
cluster_862	4rau_B_A_C 4rau_E_D_F 4rau_H_G_I 4rau_K_J_L 4rau_N_M_O 4rau_Q_P_R 4rau_T_S_U 4rau_W_V_X
cluster_863	4rrp_L_F_R 4xgz_C_D_c 4xgz_E_F_e 4xgz_M_N_m 4xgz_Q_R_q 4xgz_S_T_s
cluster_864	4m48_H_L_A 4xnu_H_L_A 4xnx_H_L_A 4xp1_H_L_A 4xp4_H_L_A 4xp5_H_L_A 4xp6_H_L_A 4xp9_H_L_C 4xpa_H_L_A 4xpf_H_L_A 4xph_H_L_A 6m0f_H_L_A 6m0z_H_L_A 6m2r_H_L_A 6m38_H_L_A 6m3z_H_L_A 6m47_H_L_A 7wgd_H_L_A 7wgt_H_L_A 7wlw_H_L_A 9euo_H_L_A
cluster_865	4yhp_C_D_Q 4yhp_H_L_P 4yhz_H_L_P
cluster_866	4ypg_B_A_C 4ypg_H_L_D
cluster_867	4g6j_H_L_A 5bvp_H_L_I
cluster_868	5dum_H_L_A
cluster_869	5en2_A_B_C
cluster_870	5hbt_D_C_B 5hbv_D_C_B
cluster_871	5ies_H_L_C 5if0_A_B_I 5if0_H_L_G
cluster_872	5ifj_A_B_C 5ifj_D_E_F 5ifj_G_H_I 5ifj_J_K_L 5ig7_A_B_C 5ig7_D_E_F 5ig7_G_H_I 5ig7_J_K_L
cluster_873	5lqb_H_L_A
cluster_874	5mo3_H_L_A 5mp1_C_D_B 5mp1_F_G_E 5mp1_H_L_A 5mp1_J_K_I 5mp3_A_B_C 5mp3_H_L_D 5mp5_A_B_K 5mp5_E_F_I 5mp5_H_L_J
cluster_875	5nj6_H_L_A
cluster_876	5ock_H_L_A 5ocx_H_L_A 5ocy_H_L_C 6zjg_H_L_C
cluster_877	5vco_B_A_F 5vco_D_C_E
cluster_878	5vic_H_L_E
cluster_879	5vl7_H_L_B
cluster_880	5w23_H_L_C 5w23_I_M_B 5w23_J_N_A
cluster_881	5x2m_H_L_A 5x2o_H_L_A 5x2p_J_K_C
cluster_882	5xku_C_B_A
cluster_883	6bdz_H_L_A
cluster_884	6bkc_H_L_E 6uyf_H_L_E
cluster_885	6bp2_H_L_A
cluster_886	6ck9_H_L_G
cluster_887	6h2y_H_L_D
cluster_888	4yo0_A_B_E 6al0_H_L_A 6al1_H_L_A 6icc_H_L_A 6icf_H_L_A 7cqc_H_L_A 7cqd_H_L_A 7cqd_I_M_B
cluster_889	6iut_H_L_A
cluster_890	6mhr_A_B_C 6mhr_D_E_F
cluster_891	6mto_H_L_T
cluster_892	6n16_A_B_E 6n16_C_D_I 6n16_H_L_F 6n16_K_J_G 6ot1_A_C_O 6ot1_H_L_B 6ot1_M_N_D
cluster_893	6pef_A_B_C 6pef_D_E_F
cluster_894	6pi7_C_B_A 6pi7_F_E_D
cluster_895	6r8x_C_B_A
cluster_896	6s3t_D_C_S 6s3t_E_I_T 6s3t_N_M_A 6s3t_R_Q_B
cluster_897	6t3j_A_B_E 6t3j_F_G_J
cluster_898	6t3j_C_D_E 6t3j_H_I_J
cluster_899	6ute_C_D_S
cluster_900	6vvu_E_F_C 6vvu_G_I_D 6vvu_H_L_A 6vvu_J_K_B
cluster_901	6vyh_D_C_A 6wik_D_C_A 8dl7_D_C_A 8dl8_D_C_A
cluster_902	6w16_H_L_F
cluster_903	6wtu_B_C_A 6wtu_E_F_D 6wtu_H_I_G 6wtu_K_L_J 6wtv_B_C_A 6wtv_E_F_D
cluster_904	6xqw_H_L_E
cluster_905	7beh_H_L_E 7nd7_F_G_B 7nd7_H_L_A 7nd7_J_K_C
cluster_906	7c4s_H_L_A 7c4s_J_K_B
cluster_907	7c61_H_L_A 7c6a_H_L_A
cluster_908	6lra_H_L_C 7fgj_H_L_C 7fgl_H_L_C 7fgr_H_L_C 7vtj_H_L_C
cluster_909	7jix_H_L_A
cluster_910	7k7r_B_A_C 7k7r_E_D_F
cluster_911	7kn3_H_L_A 7kn3_M_N_B
cluster_912	7kql_H_L_T
cluster_913	4web_H_L_E 7mww_H_L_E 7mwx_A_B_C 7mwx_E_F_G
cluster_914	7bem_H_L_E 7neg_H_L_E 7neh_H_L_E
cluster_915	7o2z_H_L_P
cluster_916	7ow1_H_K_A 7oxn_H_K_A
cluster_917	7pi7_B_C_A 7pi7_E_F_D
cluster_918	7ps2_H_L_G 7q9m_E_F_B 7q9m_H_L_C 7q9m_J_K_A
cluster_919	7q0g_A_B_E 7q6e_E_F_B 7q6e_H_L_A 7q6e_J_K_C
cluster_920	7q4q_B_A_E 7q4q_D_C_F
cluster_921	7q6c_H_L_A
cluster_922	7qf1_C_B_A 7qf1_E_D_F
cluster_923	7rm0_A_B_P 7rm0_C_D_Q 7rm0_E_F_R 7rm0_G_H_S
cluster_924	7rqr_A_B_C 7rqr_H_L_P
cluster_925	7s11_H_L_C 7s11_I_M_D 7s11_J_N_E 7s11_K_O_F
cluster_926	7s3m_H_L_A 7s3n_H_L_A
cluster_927	7s4s_H_L_A 7urq_H_L_A 7urs_H_L_A 7zf3_A_B_E
cluster_928	7qez_H_L_A 7s5q_B_C_A
cluster_929	7ssc_H_L_P
cluster_930	6cxy_H_L_C 7stz_H_L_C 7stz_I_M_D
cluster_931	7tp4_H_L_Z
cluster_932	7u2d_H_L_A 7u2e_H_L_A
cluster_933	7v8q_B_A_G 7v8q_D_C_H 7v8q_F_E_I 7vac_B_A_G 7vac_D_C_H 7vac_F_E_I 7vaz_B_A_E 7vaz_D_C_G 7vaz_H_F_I
cluster_934	7vyr_A_B_C 7vyr_H_L_R
cluster_935	7y3j_H_L_A
cluster_936	7zf4_H_L_E
cluster_937	8dw9_C_D_B 8dw9_H_L_A
cluster_938	1a2y_B_A_C 1fdl_H_L_Y 1g7h_B_A_C 1g7i_B_A_C 1g7j_B_A_C 1g7l_B_A_C 1g7m_B_A_C 1kip_B_A_C 1kiq_B_A_C 1kir_B_A_C 1vfb_B_A_C
cluster_939	1kcr_H_L_P
cluster_940	1mlc_B_A_E 1mlc_D_C_F
cluster_941	1n64_H_L_P 1xcq_H_G_S 1xf5_D_C_Q 1ymh_B_A_E 1ymh_D_C_F
cluster_942	1osp_H_L_O
cluster_943	1uwx_H_L_P 1uwx_M_K_Q
cluster_944	1ynt_D_C_G
cluster_945	2adf_H_L_A
cluster_946	2eh8_H_L_P
cluster_947	2fjg_B_A_V 2fjg_H_L_W 4zff_A_B_C 4zff_H_L_D 4zfg_H_L_A
cluster_948	2jel_H_L_P
cluster_949	3b2u_C_D_B 3b2u_F_G_E 3b2u_H_L_A 3b2u_J_K_I 3b2u_N_O_M 3b2u_Q_R_P 3b2u_T_U_S 3b2u_W_X_V 3b2v_H_L_A 6b3s_C_D_B 6b3s_F_G_E 6b3s_H_L_A 6b3s_J_K_I
cluster_950	2p8m_B_A_C 3d0l_B_A_C 3dro_B_A_P 3drq_B_A_C 3drt_B_A_C 3egs_B_A_C 3idi_B_A_C 3idn_B_A_C
cluster_951	3eyf_B_A_E 3eyf_D_C_F
cluster_952	3j1s_H_L_A
cluster_953	3kr3_H_L_D
cluster_954	3ma9_H_L_A 3mac_H_L_A 4kht_H_L_A 4khx_H_L_A
cluster_955	3o6l_H_L_C 3o6m_H_L_C
cluster_956	3p0y_H_L_A 3p11_H_L_A
cluster_957	3rkd_D_C_B 3rkd_H_L_A
cluster_958	3tt3_H_L_A
cluster_959	3u30_C_B_A 3u30_F_E_D
cluster_960	3uji_H_L_P
cluster_961	3vi3_F_E_B 3vi3_H_L_D 3vi4_F_E_B 3vi4_H_L_D
cluster_962	3wsq_H_L_A
cluster_963	4d9q_E_D_B 4d9q_H_L_A 4d9r_E_D_B 4d9r_H_L_A
cluster_964	4dgi_H_L_A 4h88_H_L_A 4ma7_H_L_A 4ma8_H_L_C 4yx2_H_L_A 4yxh_H_L_A 4yxk_H_L_A 4yxl_H_L_A
cluster_965	4jan_A_B_I 4jan_H_L_G
cluster_966	4ki5_C_D_M 4xzu_A_B_M 4xzu_E_F_G
cluster_967	4l5f_H_L_E
cluster_968	4lvh_B_C_A 4lvh_E_F_D 4lvh_H_I_G 4lvh_K_L_J
cluster_969	4o02_H_L_A
cluster_970	4plj_D_C_B 4plj_H_L_A 4plk_D_C_B 4plk_H_L_A 4plk_I_G_F 4plk_J_K_E
cluster_971	4qti_H_L_U
cluster_972	4u6v_H_L_A 4u6v_K_M_B
cluster_973	4uv7_H_L_A
cluster_974	4xtr_C_D_B 4xvu_I_J_H 4xvu_K_L_G 4xwo_C_D_A 4xwo_I_J_G 4xwo_K_L_H 4xwo_O_P_M 4xwo_U_V_S
cluster_975	4zso_B_A_E 4zso_D_C_F
cluster_976	5epm_A_B_C 5epm_E_F_D
cluster_977	5f3b_A_B_C 5f3b_E_F_D
cluster_978	5i6x_B_C_A 5i6z_B_C_A 5i71_B_C_A 5i73_B_C_A 5i74_B_C_A 5i75_B_C_A 6awn_B_C_A 6awo_B_C_A 6awp_B_C_A 6awq_B_C_A 6vrh_B_C_A 6vrk_B_C_A 6vrl_B_C_A 6w2b_B_C_A 6w2c_B_C_A
cluster_979	5kvg_H_L_E 5uhy_H_G_A
cluster_980	5ldn_H_L_A
cluster_981	5my4_B_A_C 5myk_B_A_C
cluster_982	5o4o_B_A_C 5o7p_B_A_C
cluster_983	5u3k_A_B_C
cluster_984	5uqy_D_C_A
cluster_985	5vpg_D_C_A 5vph_D_C_A 5vpl_D_C_A
cluster_986	5y11_A_B_C
cluster_987	5ywo_N_M_C 5ywo_R_Q_A
cluster_988	5ywp_N_M_C 5ywp_R_Q_A
cluster_989	6axl_A_B_I 6axl_D_C_G
cluster_990	6cdm_A_B_C 6cdm_D_E_F 6cue_3_4_1 6cue_H_L_D 6cue_h_l_d
cluster_991	6cnj_G_F_C
cluster_992	6co3_H_L_Q
cluster_993	6h06_A_B_K 6h06_C_D_G 6h06_E_F_J 6h06_H_L_I 6h0e_A_B_K 6h0e_C_D_G 6h0e_E_F_J 6h0e_H_L_I
cluster_994	6k0y_A_B_C
cluster_995	6ko5_H_L_A
cluster_996	6mg7_H_L_G
cluster_997	6mtp_A_B_Q 6mtp_H_L_P
cluster_998	6mui_C_D_B 6mui_G_H_F 6mui_K_L_J 6mui_O_P_N 6mw9_C_D_B 6mw9_G_H_F 6mw9_K_L_J 6mw9_O_P_N 6mwc_C_D_B 6mwc_G_H_F 6mwc_K_L_J 6mwc_O_P_N 6mwv_C_D_B 6mwv_G_H_F 6mwv_K_L_J 6mwv_O_P_N 6mwx_C_D_B 6mwx_G_H_F 6mwx_K_L_J 6mwx_O_P_N 6vyv_I_M_F 6vyv_J_N_G 6vyv_K_O_E 6vyv_L_P_H 6w09_I_M_E 6w09_J_N_F 6w09_K_O_G 6w09_L_P_H 6w1c_J_N_G 6w1c_K_O_E 6w1c_L_P_H
cluster_999	6nmr_A_B_E 6nmr_F_G_I 6nmr_H_L_S 6nmr_J_K_M
cluster_1000	6nmu_B_A_C 6nmu_H_L_S
cluster_1001	6o39_B_A_C
cluster_1002	6o3a_B_A_E
cluster_1003	6ohg_C_B_A
cluster_1004	6plh_B_A_C
cluster_1005	6pze_H_L_A
cluster_1006	6r2s_B_A_C
cluster_1007	6ss6_J_N_C
cluster_1008	6uig_B_C_A 6uig_H_L_G
cluster_1009	6v4n_A_B_I 6v4n_C_G_M 6v4n_D_E_W 6v4n_H_L_N
cluster_1010	6w7s_H_L_A
cluster_1011	6was_A_B_G 6was_H_L_J
cluster_1012	6wjl_F_J_E 6wjl_H_L_G
cluster_1013	6woq_G_H_F 6woq_J_K_E
cluster_1014	7a65_C_B_A 7a69_C_B_A 7a6c_C_B_A 7a6e_C_B_A 7a6f_C_B_A
cluster_1015	7bq5_C_D_B 7bq5_H_L_A
cluster_1016	7c01_C_D_B 7c01_H_L_A
cluster_1017	7bxa_B_C_A 7bxa_H_L_P 7cgw_A_B_C 7cgw_H_L_P
cluster_1018	7d85_B_C_A 7d85_E_F_D
cluster_1019	7e72_A_B_E 7e72_C_D_F
cluster_1020	7e7y_A_B_R 7e7y_C_D_E
cluster_1021	7jgj_H_L_A
cluster_1022	7jmp_H_L_A
cluster_1023	7joo_H_L_C
cluster_1024	7jr7_E_F_B
cluster_1025	7k9z_B_A_E
cluster_1026	7kmh_A_B_C 7kmi_A_B_C
cluster_1027	7l57_H_L_B 7l5b_H_L_A
cluster_1028	7lr4_A_B_C 7lr4_H_L_D
cluster_1029	7lse_H_L_E 7lsf_H_L_E 7lsg_H_L_C
cluster_1030	7ejy_H_L_R 7ejz_H_L_R 7ek0_H_L_R 7f6y_H_L_R 7f6z_H_L_R 7mzg_H_L_A
cluster_1031	7n8q_C_D_A 7n8q_H_L_G
cluster_1032	6shg_H_L_B 7njz_H_L_C 7nw3_H_L_A
cluster_1033	7rfp_H_L_A 7rfp_I_M_B
cluster_1034	7rqq_H_L_P
cluster_1035	7s8h_B_C_A
cluster_1036	7s8h_H_L_a 7ul7_E_D_c 7ul7_G_F_b 7ul7_H_L_a
cluster_1037	7sfv_M_N_B 7sfv_O_P_E 7sfv_Q_R_H 7sfv_S_T_K 7sfw_M_N_B 7sfw_O_P_E 7sfw_Q_R_H 7sfw_S_T_K
cluster_1038	7u5b_A_B_J 7u5b_H_L_I
cluster_1039	7vn9_A_B_C 7vn9_H_L_E 7vng_H_L_D
cluster_1040	7wph_E_D_A 7wph_H_L_B
cluster_1041	7wue_C_D_A 7wue_E_F_B 7wuh_D_F_C 7wuh_H_I_E 7wuh_K_L_A
cluster_1042	7xy8_H_L_A 7xy8_I_M_B
cluster_1043	7y0c_A_B_R 7y0c_M_N_E
cluster_1044	7yms_F_E_A 7yrh_F_E_A 7yv7_F_E_A
cluster_1045	7z0y_H_L_R
cluster_1046	7zwm_D_E_A 7zwm_I_J_F 7zxf_D_E_A 7zxg_B_C_A 7zxg_E_F_D
cluster_1047	7ps1_A_B_E 7zxu_H_L_E 8bh5_H_L_E
cluster_1048	8d36_H_L_F
cluster_1049	8dfg_H_L_A 8dfg_I_M_B
cluster_1050	8dfh_H_L_A
cluster_1051	8e7m_H_L_A
cluster_1052	1e4w_H_L_P 1e4x_H_L_P 1e4x_I_M_Q
cluster_1053	1eo8_H_L_A
cluster_1054	1kc5_H_L_P
cluster_1055	1kcs_H_L_P
cluster_1056	1uj3_B_A_C
cluster_1057	1v7m_H_L_V 1v7m_I_M_X 1v7n_H_L_V 1v7n_I_M_X 1v7n_J_N_Y 1v7n_K_O_Z
cluster_1058	1yjd_H_L_C
cluster_1059	2bdn_H_L_A
cluster_1060	2hh0_H_L_P
cluster_1061	2jix_D_G_E 2jix_H_L_E
cluster_1062	2nyy_D_C_A 2nz9_D_C_A 2nz9_F_E_B
cluster_1063	2r4r_H_L_A 2r4s_H_L_A 3kj6_H_L_A
cluster_1064	3hi6_H_L_A 3hi6_X_Y_B
cluster_1065	3hmx_H_L_A
cluster_1066	3ley_H_L_P
cluster_1067	3r1g_H_L_B
cluster_1068	3sge_H_L_K 3sge_J_I_M
cluster_1069	3ulu_F_E_A 3ulv_F_E_A
cluster_1070	3wlw_C_D_A 3wlw_H_L_B
cluster_1071	4etq_A_B_X 4etq_H_L_C
cluster_1072	4ffy_H_L_A 4ffz_H_L_A 4ffz_Z_Y_X
cluster_1073	4gms_H_L_A 4gms_J_N_E
cluster_1074	4hcr_H_L_A 4hcr_M_N_B
cluster_1075	4hzl_A_B_F 4hzl_H_L_E
cluster_1076	4irz_H_L_A
cluster_1077	4jzn_I_P_K 4jzo_A_B_J 4jzo_C_F_K 4jzo_D_E_I 4jzo_G_H_L
cluster_1078	4oii_H_L_A 4oii_I_M_B
cluster_1079	4rgm_C_B_A 4rgm_H_L_S
cluster_1080	4u6h_A_B_E 4u6h_C_D_J
cluster_1081	4xmk_H_L_P 4xmk_I_M_Q 4xmk_J_N_R
cluster_1082	4xnm_B_A_D 4xnm_H_L_C 4xnq_B_A_D 4xnq_H_L_C 4xrc_B_A_D 4xrc_H_L_C
cluster_1083	5eoq_H_L_A
cluster_1084	4rfo_H_L_G 5kjr_H_L_G
cluster_1085	5tlj_D_C_X
cluster_1086	5tpn_H_L_A
cluster_1087	5ucb_H_L_B
cluster_1088	5vta_F_E_C 5vta_H_L_D 5vta_I_G_B 5vta_K_J_A
cluster_1089	5wth_E_D_B
cluster_1090	5xmh_D_C_B 5xmh_H_L_A
cluster_1091	6a77_H_L_A 6a78_H_L_A 6a78_I_M_B 6a79_H_L_A 6a79_I_M_B
cluster_1092	6b0s_H_L_C
cluster_1093	6bpa_B_C_A 6bpa_E_F_D
cluster_1094	6dc8_H_L_P
cluster_1095	6e62_B_C_A 6e62_H_L_P
cluster_1096	6fla_A_B_G 6fla_H_L_I 6flb_H_L_G
cluster_1097	6iap_E_D_A
cluster_1098	6jbt_H_L_F
cluster_1099	6jhq_D_E_C
cluster_1100	6jhr_E_D_C
cluster_1101	6jhs_E_D_C
cluster_1102	6jht_E_D_C
cluster_1103	6lz9_H_L_B
cluster_1104	6nms_B_A_C 6nms_H_L_S
cluster_1105	6o9h_A_B_C 6o9h_H_L_D 6o9i_A_B_C
cluster_1106	6oy4_D_C_A
cluster_1107	6rps_H_L_A 6rps_N_M_B
cluster_1108	6vgr_C_D_A 6vgr_H_L_B
cluster_1109	6xq2_C_B_A 6xq2_F_E_D
cluster_1110	6xsw_A_B_C 6xsw_G_I_J 6xsw_H_L_X
cluster_1111	7bbj_H_L_A
cluster_1112	7bxv_H_L_A
cluster_1113	7dm2_H_L_A
cluster_1114	7e6p_H_L_A
cluster_1115	7fah_C_D_B 7fah_H_L_A 7yhk_F_H_A
cluster_1116	7jwg_A_B_E 7jwg_H_L_C
cluster_1117	7k66_B_C_A
cluster_1118	7ket_A_B_C
cluster_1119	7kgv_C_E_B 7kgv_D_F_A
cluster_1120	7kn4_H_L_A 7kn4_M_N_B
cluster_1121	7kyo_H_L_B
cluster_1122	7laa_H_L_A
cluster_1123	7mxl_H_L_C
cluster_1124	7n0x_H_L_G
cluster_1125	7nx6_A_B_E 7nx7_A_B_E 7nx8_A_B_E 7nx9_A_B_E 7nxa_A_B_E 7nxb_A_B_E 7or9_A_B_E 7q9g_E_F_B 7q9g_H_L_A
cluster_1126	7pqy_B_C_A 7pqy_H_L_E 7pqz_H_L_E 7q0a_Y_Z_B
cluster_1127	7s7i_H_L_A 7s7i_I_M_B 7s7i_J_N_C 7s7i_U_V_D 7s7i_W_X_E 7s7i_Y_Z_F
cluster_1128	7t9m_H_L_R
cluster_1129	7wd9_E_F_B 7wd9_G_H_C 7wd9_I_J_A 7wdf_D_E_C 7wdf_F_G_B 7wk9_a_b_B 7wk9_c_d_C 7wka_a_b_B 7wka_c_d_C
cluster_1130	7wkx_A_C_F 7wkx_B_D_E
cluster_1131	7zfe_F_G_B 7zfe_H_L_E 7zfe_J_K_A 7zfe_M_N_C
cluster_1132	8gx9_O_N_E 8gx9_P_M_A
cluster_1133	1nl0_H_L_G
cluster_1134	1xgy_H_L_P 1xgy_I_M_Q
cluster_1135	2g5b_B_A_I 2g5b_D_C_J 2g5b_F_E_K 2g5b_H_G_L
cluster_1136	2r29_H_L_A 2r69_H_L_A 2r6p_D_E_A 2r6p_F_G_C
cluster_1137	2xqy_G_L_A 2xqy_J_K_E
cluster_1138	3bgf_B_C_A 3bgf_H_L_S
cluster_1139	3c09_H_L_D
cluster_1140	3cxd_H_L_P 3dsf_H_L_P
cluster_1141	3d85_B_A_C
cluster_1142	3ifo_A_B_Q 3ifo_H_L_P
cluster_1143	3j42_G_H_E 3j42_I_J_D 3j42_K_L_F
cluster_1144	3lzf_H_L_A
cluster_1145	3r08_H_L_E
cluster_1146	3uo1_H_L_P 3uyr_H_L_P 3v4u_H_L_P 3v52_H_L_P
cluster_1147	3wkm_H_L_A
cluster_1148	3zkm_C_D_B 3zkm_H_L_A 3zkn_C_D_B 3zkn_H_L_A
cluster_1149	4cmh_B_C_A
cluster_1150	4edx_B_A_W 4edx_H_L_V
cluster_1151	4iof_C_D_A 4iof_E_F_B 4m1c_C_D_A 4m1c_E_F_B 5wob_I_J_A 5wob_K_L_B 5wob_M_N_C 5wob_O_P_D 5wob_Q_R_E 5wob_S_T_F 5wob_W_X_H
cluster_1152	4kvn_H_L_A
cluster_1153	4lvn_C_B_A 4lvo_C_B_A
cluster_1154	4q0x_H_L_E
cluster_1155	4rfn_B_C_A 4rfn_H_L_G 5fcu_H_L_G
cluster_1156	4zfo_A_B_F 4zfo_H_L_K
cluster_1157	5b3j_E_F_C 5b3j_H_L_D
cluster_1158	5c0n_C_D_B 5c0n_H_L_A
cluster_1159	5d1q_B_A_E
cluster_1160	5d8j_H_L_A
cluster_1161	5d93_C_B_A 5d93_F_E_D 6hf1_C_B_A 6hf1_F_E_D
cluster_1162	5dlm_H_L_X 5dlm_I_M_Y
cluster_1163	5e8d_H_L_A
cluster_1164	5ggt_H_L_A
cluster_1165	5ibl_C_D_F
cluster_1166	5jhl_H_L_A
cluster_1167	5lsp_H_L_A 5lsp_S_T_P
cluster_1168	5myx_B_A_E 5myx_D_C_F
cluster_1169	5o4g_B_A_C
cluster_1170	5tzt_A_B_D 5tzt_H_L_C
cluster_1171	5ush_D_E_A 5ush_H_L_X
cluster_1172	5vqm_D_C_B 5vqm_H_L_A
cluster_1173	5w06_H_L_T
cluster_1174	5wtt_A_B_C 5wtt_H_L_P
cluster_1175	6b0e_B_A_E
cluster_1176	6bb4_H_L_P 6bb4_I_M_Q 6bb4_J_N_R
cluster_1177	6dc9_H_L_P 6dc9_I_M_Q
cluster_1178	6ddm_B_A_C
cluster_1179	6e63_B_C_A 6e63_H_L_P
cluster_1180	6fax_H_L_R
cluster_1181	6flc_B_A_I 6flc_H_L_G
cluster_1182	6ii9_H_L_A 6ii9_M_N_C 6ii9_P_Q_E
cluster_1183	6j6y_B_C_A 6j6y_E_F_D
cluster_1184	6kva_H_L_B 6kva_h_l_b 6kvf_A_C_B 6kvf_H_L_b
cluster_1185	6n8d_D_B_A 6n8d_F_E_C
cluster_1186	6o3b_B_A_C 6o3b_G_E_H
cluster_1187	6oor_H_L_A
cluster_1188	6otc_H_L_A
cluster_1189	6pdu_H_L_C
cluster_1190	6pec_H_L_A
cluster_1191	6phf_A_B_G 6phf_C_D_E
cluster_1192	6sf6_A_B_D 6sf6_H_L_C
cluster_1193	6ss4_H_L_A
cluster_1194	6u36_H_L_B 6u38_H_L_B
cluster_1195	6wfz_A_B_C 6wfz_H_L_P 6wg1_A_B_C 6wg1_H_L_C
cluster_1196	6wo5_A_B_E 6wo5_C_D_F 6woq_A_B_E
cluster_1197	6x1v_H_L_D
cluster_1198	6xzw_H_L_D
cluster_1199	6y92_C_D_B 6y92_H_L_A
cluster_1200	7bel_A_B_R 7bel_C_D_X 7ora_A_B_R 7ora_D_E_C 7pry_A_B_I 7pry_F_G_E
cluster_1201	7ce2_Z_B_A
cluster_1202	7cr5_H_L_A
cluster_1203	7e3o_H_L_R
cluster_1204	7fjn_H_L_B 7fjn_I_J_A 7fjo_F_G_C 7fjo_H_L_A 7fjo_J_K_B 7fjs_C_A_B 7fjs_H_L_E
cluster_1205	7jmo_H_L_A
cluster_1206	7kqg_B_C_A
cluster_1207	7kqi_A_C_B
cluster_1208	7mzl_H_L_A
cluster_1209	7r58_H_L_A
cluster_1210	7rco_D_C_B 7rco_F_E_A
cluster_1211	7rxi_H_L_A
cluster_1212	7seg_A_B_D 7seg_H_L_C
cluster_1213	7si2_E_D_B 7si2_G_F_C 7si2_H_L_A
cluster_1214	7t72_H_L_A
cluster_1215	7tcq_A_B_D 7tcq_H_L_C
cluster_1216	7tug_H_L_D
cluster_1217	7v4w_B_A_C 7v64_B_A_C 7v7k_B_A_C
cluster_1218	7vux_H_L_A
cluster_1219	7zwi_B_C_A 7zwi_E_F_D 7zwm_B_C_A 7zwm_G_H_F
cluster_1220	8aon_B_C_A
cluster_1221	8gpt_D_E_A 8gpt_F_G_B 8gpt_H_I_C 8gpu_C_D_B 8gpu_F_G_E 8gpu_H_L_A 8gpu_J_K_I 8gpu_N_O_M 8gpu_Q_R_P
cluster_1222	1cu4_H_L_P
cluster_1223	1ggi_H_L_P 1ggi_J_M_Q
cluster_1224	1bql_H_L_Y 1yqv_H_L_Y 2iff_H_L_Y
cluster_1225	2gsi_B_A_W 2gsi_D_C_X 2gsi_F_E_Y 2gsi_H_G_Z
cluster_1226	2h9g_B_A_R 2h9g_H_L_S
cluster_1227	2w9e_H_L_A 6suz_H_L_A 6sv2_H_L_A
cluster_1228	2xwt_A_B_C 7xw7_A_B_R
cluster_1229	2xzq_H_L_P 2y36_H_L_P
cluster_1230	2y06_H_L_P 2y07_H_L_P
cluster_1231	2ypv_H_L_A
cluster_1232	3bsz_H_L_F 3bsz_N_M_E
cluster_1233	3efd_H_L_K
cluster_1234	3eoa_B_A_J 3eoa_H_L_I 3eob_B_A_J 3eob_H_L_I
cluster_1235	3g04_B_A_C 7t9n_H_L_R 7xw6_Y_L_R
